in_catalog,tic__tess_id,date_added,date_modified,sectors,tic__ra,tic__dec,tic__Tmag,tic__glat,tic__glon,tic__pmra,tic__pmdec,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,tic__teff,tic__logg,tic__abun,source,flags
True, 0009945183, 2020-07-28 18:40:28, , 4;31, 50.344166, -10.285026, 11.29, 194.710549, -50.921745, -3.1, -0.5, 1411.732541, 0.000022, 1.5575895, 0.0000002, 0.531, 5819, , , LCF, ,
True, 0010048801, 2020-07-28 16:48:43, , 20, 123.996104, 38.879961, 8.41, 182.260050, 32.414734, -2.15639, -5.16776, 1842.997370, 0.015308, 3.6987295, 0.0033781, 0.459, 4949, , , LCF, ,
True, 0010057647, 2020-07-28 16:48:47, , 20, 133.330436, 53.735809, 8.27, 164.206871, 39.391476, -18.6696, -33.0473, 1842.808981, 0.000107, 16.2635300, 0.0002528, 0.076, 7249, 4.06, , LCF, ,
True, 0010393493, 2021-02-23 2:57:57, , 25;26, 267.736034, 33.545828, 12.11, 58.945737, 26.455461, None, None, 1983.753086, 0.000019, 0.3604604, 0.0000002, 0.789, 6200, 4.21, , LCF, ,
True, 0010467747, 2020-12-01 19:06:44, , 26, 268.039576, 32.130434, 10.10, 57.517691, 25.803813, -2.22425, -81.4153, 2010.457011, 0.000214, 0.3026197, 0.0000041, 0.530, 5248, 4.53, , LCF, A,
True, 0010756751, 2020-07-28 17:15:34, , 3, 9.229712, -5.874034, 9.42, 113.052248, -68.466827, 11.8307, 1.07316, 1387.997727, 0.000397, 3.4885322, 0.0000193, 0.571, 6703, 3.46, , LCF, ,
True, 0010838695, 2020-07-28 17:15:43, , 3, 25.252926, -6.726166, 10.07, 155.163811, -66.444371, 16.3112, -12.8973, 1386.671343, 0.000193, 2.3061233, 0.0000074, 0.527, 8326, 4.10, , LCF, ,
True, 0010891640, 2020-07-28 17:17:57, , 14, 297.762051, 25.954311, 9.29, 62.598875, -0.357300, -1.86143, -4.25625, 1685.068121, 0.000205, 6.1819688, 0.0160739, 0.522, , , , LCF, ,
True, 0011002748, 2020-07-28 18:40:54, , 5, 56.204139, -3.078622, 11.61, 190.472437, -42.127925, 3.4778, -3.35389, 1438.415691, 0.000229, 0.7787150, 0.0000182, 0.669, 7402, 4.00, , LCF, ,
True, 0011046410, 2020-07-29 16:36:12, , 5;31, 56.127125, -1.163089, 5.32, 188.321134, -41.084839, 4.30593, -6.07743, 1441.106275, 1.795723, 8.1226211, 0.0035744, 0.439, 12823, , , LCF, ,
True, 0011070365, 2020-07-28 17:16:36, , 7, 122.225000, -18.411004, 14.41, 238.306193, 7.816159, -3.271, -48.0416, 1492.277544, 0.003129, 0.9020851, 0.0001828, 0.560, 3554, 4.82, , LCF, A,
True, 0011113164, 2020-07-28 16:45:20, , 15, 303.908896, 36.793552, 10.34, 74.560074, 0.981001, -2.08048, -4.79518, 1712.927060, 0.001860, 2.8391805, 0.0000668, 0.629, 12404, , , LCF, ,
True, 0011119600, 2020-07-28 16:45:00, , 14;15, 303.823206, 37.528866, 11.39, 75.133286, 1.446756, -1.40011, 7.1005, 1683.732028, 0.000067, 1.2211942, 0.0000057, 0.532, 6897, 4.10, , LCF, A,
True, 0011286209, 2020-07-28 17:16:05, , 6;32, 84.696688, -2.594587, 6.85, 206.816182, -17.324468, 1.28096, -0.621804, 1468.138678, 0.041930, 1.1909336, 0.0000657, 0.572, , , , LCF, ,
True, 0011437325, 2020-07-28 16:47:17, , 18, 30.138624, 60.009103, 11.10, 131.474198, -1.711352, 107.05, -26.72, 1790.806106, 0.000024, 0.5733566, 0.0000007, 0.521, 3996, 4.74, , LCF, ,
True, 0011480287, 2020-07-28 16:45:50, , 15, 303.986561, 37.508491, 11.03, 75.188473, 1.327766, -2.29072, -4.94312, 1713.015398, 0.000396, 2.3168078, 0.0000877, 0.600, 9106, , , LCF, ,
True, 0011480757, 2020-07-28 16:45:39, , 15, 303.983098, 37.454313, 11.57, 75.141940, 1.299861, -11.1979, -1.46904, 1711.550618, 0.000647, 0.4041670, 0.0000013, 0.862, 8028, 4.31, , LCF, ,
True, 0011487334, 2020-07-28 18:40:04, , 3;30, 17.667133, -28.231270, 11.61, 228.565536, -85.602357, -4.64653, 0.901115, 1386.000092, 0.008061, 0.3840273, 0.0002015, 0.809, 6149, 4.19, , LCF, ,
True, 0011491822, 2020-07-28 16:48:47, , 20, 96.607650, 56.285099, 5.34, 158.631645, 18.995639, -25.9657, 21.2139, 1851.927737, 0.000676, 9.9465911, 0.0005646, 0.207, 8240, 3.84, 0.66, LCF, ,
True, 0011546041, 2020-07-28 18:40:04, , 3, 19.002509, -25.709167, 11.71, 199.849416, -84.319174, -9.44241, -18.1161, 1386.326665, 0.003222, 0.4068856, 0.0000939, 0.778, 7179, 4.25, , LCF, ,
